國立竹科實驗高級中等學校,180301
國立新竹女中,180302
國立新竹高中,180309
私立光復高中,181305
私立曙光女中,181306
私立磐石高中,181307
私立世界高中,181308
市立成德高中,183306
市立香山高中,183307
市立建功高中,183313
私立東大附中,191301
私立葳格高中,191302
私立新民高中,191305
私立宜寧高中,191308
私立明德高中,191309
私立衛道高中,191311
私立曉明女中,191313
私立嶺東高中,191314
私立磊川華德福實驗教育學校,191315
市立臺中女中,193301
市立臺中一中,193302
市立忠明高中,193303
市立西苑高中,193313
市立東山高中,193315
市立惠文高中,193316
市立臺中二中,194303
市立文華高中,194315
國立嘉義女中,200302
國立嘉義高中,200303
私立興華高中,201304
私立仁義高中,201309
私立嘉華高中,201310
私立輔仁高中,201312
私立宏仁女中,201313
私立立仁高中,201314
國立臺南二中,210303
國立臺南一中,210305
國立臺南女中,210306
國立家齊高中,210309
私立長榮高中,211301
私立長榮女中,211302
財團法人聖功女中,211304
臺南市光華高中,211310
私立六信高中,211314
私立瀛海高中,211315
臺南市崑山高中,211317
私立德光高中,211318
財團法人慈濟高中,211320
市立南寧高中,213303
市立土城高中,213316
市立西松高中,313301
市立中崙高中,313302
臺北市私立協和祐德高級中學,321399
市立松山高中,323301
市立永春高中,323302
國立師大附中,330301
私立延平中學,331301
私立金甌女中,331302
私立復興實驗高中,331304
市立和平高中,333301
市立芳和實中,333304
私立大同高中,341302
市立中山女中,343301
市立大同高中,343302
市立大直高中,343303
私立強恕中學,351301
市立建國中學,353301
市立成功中學,353302
市立北一女中,353303
臺北市靜修高中,361301
市立明倫高中,363301
市立成淵高中,363302
市立華江高中,373301
市立大理高中,373302
國立政大附中,380301
私立東山高中,381301
私立滬江高中,381302
私立大誠高中,381303
私立再興中學,381304
私立景文高中,381305
臺北市靜心高中,381306
市立景美女中,383301
市立萬芳高中,383302
市立南港高中,393301
市立育成高中,393302
私立文德女中,401301
私立方濟中學,401302
私立達人女中,401303
市立內湖高中,403301
市立麗山高中,403302
市立南湖高中,403303
私立泰北高中,411301
私立衛理女中,411302
私立華興中學,411303
市立陽明高中,413301
市立百齡高中,413302
私立薇閣高中,421301
臺北市幼華高中,421302
臺北市私立奎山實驗高級中學,421303
